caso,metodo,angulos_reales,angulos_estimados,errores_por_fuente_grados,error_medio_grados,tramas,porcentaje_mascara,conmutaciones,decisiones_validas,bins_activos_medios,bins_efectivos_medios,peso_medio,analisis_ms,das_dual_ms,decision_ms,total_por_ventana_ms
clean-2source,DAS base,"-30.00 90.00","-28.00","2.00 180.00",91.000000,92,35.870,1,20,35.533,29.592,0.269937,845.660925,1595.696926,172.965527,28.416558
clean-2source,DAS + SNR,"-30.00 90.00","-28.00 86.00","2.00 4.00",3.000000,92,35.870,1,20,35.533,29.592,0.269937,845.660925,1595.696926,172.965527,28.416558
clean-2source,DAS adaptativo,"-30.00 90.00","-28.00 86.00","2.00 4.00",3.000000,92,35.870,1,20,35.533,29.592,0.269937,845.660925,1595.696926,172.965527,28.416558
