corpus,caso,fuentes,angulos_reales,metodo,angulos_estimados,error_medio_grados,tiempo_localizacion_ms,preprocesamiento_ms
corpus48000,noisy-2source090,2,"0.00 90.00",Delay-and-Sum,"-26.00 90.00",13.000000,17828.248978,37.851810
corpus48000,noisy-2source090,2,"0.00 90.00",MUSIC,"-112.00 94.00",126.000000,306.722164,37.851810
corpus48000,noisy-3source,3,"-30.00 90.00 -150.00",Pearson,"-150.00 90.00 134.00",65.333333,9662.224054,33.542871
corpus48000,noisy-3source,3,"-30.00 90.00 -150.00",GCC,"-150.00 90.00 134.00",65.333333,163396.440029,33.542871
corpus48000,noisy-3source,3,"-30.00 90.00 -150.00",SRP-PHAT,"0.00 60.00 120.00",50.000000,8751.780987,33.542871
corpus48000,noisy-3source,3,"-30.00 90.00 -150.00",Delay-and-Sum,"-148.00 92.00 132.00",66.000000,16410.230875,33.542871
corpus48000,noisy-3source,3,"-30.00 90.00 -150.00",MUSIC,"N/A",NaN,NaN,33.542871
corpus48000,noisy-3source090180,3,"0.00 90.00 180.00",Pearson,"-22.00 -2.00 178.00",82.666667,10957.901955,29.181004
corpus48000,noisy-3source090180,3,"0.00 90.00 180.00",GCC,"-22.00 -2.00 178.00",82.666667,13940.773964,29.181004
corpus48000,noisy-3source090180,3,"0.00 90.00 180.00",SRP-PHAT,"-180.00 -120.00 0.00",50.000000,10987.056017,29.181004
corpus48000,noisy-3source090180,3,"0.00 90.00 180.00",Delay-and-Sum,"-178.00 -2.00",180.000000,22899.582148,29.181004
corpus48000,noisy-3source090180,3,"0.00 90.00 180.00",MUSIC,"N/A",NaN,NaN,29.181004
corpus48000,noisy-4source,4,"0.00 90.00 180.00 -90.00",Pearson,"-176.00 -16.00",180.000000,10054.375172,41.146994
corpus48000,noisy-4source,4,"0.00 90.00 180.00 -90.00",GCC,"-176.00 -16.00",180.000000,11509.317875,41.146994
corpus48000,noisy-4source,4,"0.00 90.00 180.00 -90.00",SRP-PHAT,"-178.00 -60.00 62.00 120.00",60.000000,13213.294983,41.146994
corpus48000,noisy-4source,4,"0.00 90.00 180.00 -90.00",Delay-and-Sum,"-172.00 -8.00",180.000000,35441.663742,41.146994
corpus48000,noisy-4source,4,"0.00 90.00 180.00 -90.00",MUSIC,"N/A",NaN,NaN,41.146994
